date,open,high,low,close
2015-01-02,101.0603,101.1863,100.4873,100.6127
2015-01-05,101.0918,101.5498,98.6276,99.0765
2015-01-06,98.5875,100.3314,98.4850,100.2272
2015-01-07,100.3392,100.4940,99.1898,99.3430
2015-01-08,99.2832,100.2348,98.9844,99.9340
2015-01-09,99.7683,101.5104,99.1707,100.9060
2015-01-12,100.9160,101.2185,99.5556,99.8549
2015-01-13,99.7078,100.3933,99.3284,100.0127
2015-01-14,99.9455,100.0616,99.8156,99.9316
2015-01-15,99.7565,99.8788,99.6357,99.7581
2015-01-16,99.8031,101.2215,98.1041,99.5185
2015-01-19,99.2812,100.2847,98.9559,99.9572
2015-01-20,100.2287,101.4792,99.5876,100.8343
2015-01-21,100.7728,101.9755,100.4645,101.6644
2015-01-22,101.9253,102.0167,101.4912,101.5822
2015-01-23,101.3736,102.1028,99.2202,99.9390
2015-01-26,99.6578,99.8198,98.5048,98.6652
2015-01-27,98.9073,98.9632,97.9243,97.9797
2015-01-28,98.3020,99.3731,97.4656,98.5347
2015-01-29,98.6328,100.5106,98.4044,100.2785
2015-01-30,100.1035,101.9606,99.7764,101.6285
2015-02-02,101.9358,102.2177,101.8006,102.0822
2015-02-03,102.0937,103.4200,101.9011,103.2252
2015-02-04,103.5248,103.6446,103.2078,103.3275
2015-02-05,103.1161,104.7376,102.6360,104.2523
2015-02-06,104.0420,104.8052,104.0198,104.7828
2015-02-09,104.6261,104.7075,103.7079,103.7887
2015-02-10,103.9238,105.2611,101.5122,102.8355
2015-02-11,103.3115,103.4253,101.8324,101.9447
2015-02-12,101.6561,102.9798,101.4745,102.7961
2015-02-13,102.6624,103.3255,102.2681,102.9302
2015-02-16,102.5561,103.8583,101.9976,103.2958
2015-02-17,102.8126,104.6529,101.9309,103.7631
2015-02-18,104.2453,104.5256,102.7914,103.0685
2015-02-19,102.8007,103.4076,102.5004,103.1065
2015-02-20,103.1586,103.6474,101.1343,101.6158
2015-02-23,101.7307,101.8327,100.4270,100.5278
2015-02-24,101.1235,101.2785,100.7066,100.8612
2015-02-25,100.5803,101.6786,99.8192,100.9149
2015-02-26,101.2160,102.0859,99.7365,100.6012
2015-02-27,100.5121,103.2588,99.7220,102.4535
2015-03-02,102.4682,103.6682,101.3892,102.5879
2015-03-03,102.3018,102.3046,102.0323,102.0351
2015-03-04,102.4798,103.2123,102.2882,103.0198
2015-03-05,103.5198,103.5656,103.4893,103.5350
2015-03-06,103.2505,103.9428,102.5143,103.2063
2015-03-09,103.4193,103.4210,102.9014,102.9030
2015-03-10,102.8575,105.2141,102.1595,104.5048
2015-03-11,104.0777,104.8845,103.4568,104.2625
2015-03-12,103.9290,105.6228,103.0650,104.7519
2015-03-13,104.8035,105.7744,103.3882,104.3549
2015-03-16,104.6948,104.7582,103.8256,103.8884
2015-03-17,103.8207,105.2012,103.7645,105.1443
2015-03-18,105.2750,105.3162,105.0549,105.0961
2015-03-19,105.9066,106.1927,103.7760,104.0571
2015-03-20,103.6192,104.0556,102.6075,103.0416
2015-03-23,103.4523,103.8785,102.4821,102.9061
2015-03-24,102.4922,102.6571,102.3070,102.4719
2015-03-25,102.3994,102.5555,102.3068,102.4629
