,Description,Final Assets,Total Contributed,Total Deployed,End Idle Cash,Multiple (x),CAGR (on contrib),IRR (money-weighted),Avg Buy Cost,Avg Exec Price,Num Buys,Avg Buys/Month,Avg Wait (trading days),Avg Idle Cash,Max Idle Cash,Cash Drag Ratio,MDD,Volatility (ann.)
A_monthly_lump,"Benchmark A: 每月一次投入 50,000",17791771.78958623,6350000.0,6350000.0,0.0,2.80185382513169,0.10248368145475961,0.1845487368160572,239.67381666259377,346.2010496062992,127.0,1.0,21.72222222222222,0.0,0.0,0.0,-0.3895775328705139,0.20643795366942652
B_spread_10,Benchmark B: 每月平均分 10 次 (不看漲跌),17639533.23780095,6350000.0,6350000.0,0.0,2.7778792500473934,0.1015868595248679,0.18305493795952787,241.7423291485918,348.0324392125984,1270.0,10.0,2.1710007880220648,23847.96806966618,45000.0,0.007457817517502751,-0.3888291488550958,0.20319851047995008
C_0050_blackk,Benchmark C / G1: 0050 黑K -> 隔日開盤買 2330,17569559.78898864,6350000.0,6305000.0,45000.0,2.7668598092895493,0.10117230027481416,0.18236389912361078,241.6039550197658,346.5312846153846,1261.0,9.929133858267717,2.1849206349206347,31166.54571843251,95000.0,0.009746507959922386,-0.38900347755090303,0.20250533218025926
D_0050_down1pct,Benchmark D / G4: 0050 下跌 >= 1%,10208276.09284604,6350000.0,2275000.0,4075000.0,1.607602534306463,0.045983175216483874,0.08686613826451037,249.08923092211262,350.9843076923077,455.0,3.5826771653543306,6.061674008810573,2086358.8534107402,4090000.0,0.6524532219814136,-0.23545099292208616,0.10337942504256538
E_2330_blackk,Benchmark E: 2330 自己黑K,17584460.35225416,6350000.0,6320000.0,30000.0,2.7692063546856946,0.10126070408971377,0.18251128950751455,241.76624258660425,347.1261796677215,1264.0,9.952755905511811,2.1789390340459223,34218.06966618288,95000.0,0.010700790886087441,-0.38881679754967113,0.20213478979044938
G2_0050_down2,G2: 0050 連跌 2 天,11936315.966993183,6350000.0,3325000.0,3025000.0,1.8797347979516823,0.0615889389752704,0.11466069282076338,250.56238419446302,355.1157911278196,665.0,5.2362204724409445,4.134036144578313,1582988.0261248185,3045000.0,0.495037388373861,-0.29189697896810696,0.13398040403461076
G3_0050_down3,G3: 0050 連跌 3 天,8979156.305279646,6350000.0,1595000.0,4755000.0,1.4140403630361646,0.033352334345743584,0.06381166141566147,253.56352075828113,361.38566739811915,319.0,2.5118110236220472,8.59119496855346,2443775.399129173,4760000.0,0.7642257372714998,-0.1840060545526495,0.07753400186710381
G5_0050_below_ma20,G5: 0050 跌破 MA20,16547523.535257576,6350000.0,6110000.0,240000.0,2.6059092181507992,0.09494042980383344,0.1719350131647353,251.60499698982636,347.469063502455,1222.0,9.622047244094489,2.2268632268632267,147510.88534107403,420000.0,0.046130104732834826,-0.38585352434187636,0.1945563060254681
G6_0050_and_2330_blackk,G6: 0050 黑K 且 2330 黑K,14370980.584221361,6350000.0,4565000.0,1785000.0,2.263146548696277,0.08041489776669719,0.14731131084146043,243.56775338134338,348.1077064622125,913.0,7.188976377952756,3.017543859649123,933907.8374455733,1815000.0,0.2920548287169944,-0.34230810348510454,0.1669582130806731
G7_0050_blackk_2330_fresh,G7: 0050 黑K + 2330 回檔(freshness>=5%),11725944.995456213,6350000.0,3010000.0,3340000.0,1.8466055110954667,0.05980285290637366,0.11151516726712715,241.03524541303477,355.54604119601333,602.0,4.74015748031496,4.5191347753743765,1781424.1654571844,3345000.0,0.5570930113810437,-0.27557894738648714,0.1271535651517742
